['LampOn', '19:01:34.867381', [2017, 11, 13]]
['LampOff', '19:11:20.415265', [2017, 11, 13]]
['LampOff', '19:11:48.477218', [2017, 11, 13]]
['LampOff', '19:16:19.348295', [2017, 11, 13]]
['LampOn', '19:18:05.403545', [2017, 11, 13]]
['LampOff', '19:19:07.422803', [2017, 11, 13]]
['LampOff', '19:19:40.447448', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:29:07.422803', [2017, 11, 13]]
['LampOn', '19:33:07.422803', [2017, 11, 13]]
['LampOn', '19:33:07.422803', [2017, 11, 13]]
['LampOn', '19:33:07.422803', [2017, 11, 21]]
['LampOn', '19:33:07.422803', [2017, 11, 21]]
['LampOn', '19:33:07.422803', [2017, 11, 21]]
['LampOn', '19:33:07.422803', [2017, 11, 21]]
['LampOn', '19:33:07.422803', [2017, 11, 21]]
['LampOn', '19:33:07.422803', [2017, 11, 24]]
['LampOn', '19:33:07.422803', [2017, 11, 24]]
